Model,VIN,Uph,Retail Date,MSRP,Wholesale date,Trade,Client order,Paints,Lot life,Defect
S63V4,WDDUG8JB8KA427702,Black,3/18/2019,161375,11/7/2018,0,0,Black,131,1
G550W4,WDCYC6BJ1KX315378,Black,3/15/2019,143865,3/13/2019,0,1,Silver,2,0
GLS63W4,4JGDF7FEXKB225881,Brown,3/15/2019,131920,3/9/2019,1,0,Blue,6,0
G550W4,WDCYC6BJ2KX315700,Black,3/15/2019,133435,3/13/2019,0,1,Black,2,0
G63W4,WDCYC7HJ8KX315200,Brown,3/13/2019,162315,3/7/2019,0,1,Grey,6,0
GLC300W4,WDC0G4KB6KV164922,Beige,3/8/2019,51735,6-Mar,0,0,Blue,2,0
GT63C4S,WDD7X8KB7KA001818,Grey,3/8/2019,200495,2/28/2019,0,1,Grey,8,0
CLA250C4,WDDSJ4GB7KN744422,Black,3/6/2019,40575,12/9/2018,0,0,Black,87,0
GLS450W4,4JGDF6EE6KB212119,Beige,3/6/2019,83950,12/3/2018,0,0,Blue,93,1
GLE450W4,4JGFB5KB3LA006384,Black,3/5/2019,64900,2/26/2019,0,0,White,7,0
C300W4,55SWF8EB1KU289474,Beige,3/2/2019,51625,10/11/2018,0,0,White,142,1
SLC300R,WDDPK3JA1KF162534,Red,2/28/2019,60895,2/27/2019,0,1,Silver,1,0
SL63R,WDDJK7EA4KF056196,Black,2/28/2019,171145,2/21/2019,0,1,Grey,7,0
E300W4,WDDZF4KB5KA582076,Black,2/28/2019,65835,11/30/2018,0,0,Black,90,0
CLA250C4,WDDSJ4GB9KN762436,Grey,2/28/2019,43325,2/25/2019,1,0,Black,3,0
CLA250C4,WDDSJ4GB2KN706676,Beige,2/28/2019,42645,2/28/2019,1,0,Black,0,0
C300W4,55SWF8EB2KU306556,Black,2/28/2019,53080,1/11/2019,0,0,White,48,0
GLE350W4,4JGFB4KB1LA007690,Black,2/28/2019,64550,2/26/2019,0,0,Black,2,0
E300W4,WDDZF4KBXKA617677,Beige,2/28/2019,72305,2/18/2019,0,1,Black,10,0
S560V4,WDDUG8GB8KA459007,White,2/28/2019,123805,12/8/2018,0,0,Black,82,0
